DATE,A191RP1Q027SBEA
1990-01-01,9.1
1990-04-01,5.8
1990-07-01,3.7
1990-10-01,-0.4
1991-01-01,2.1
1991-04-01,6
1991-07-01,5
1991-10-01,4
1992-01-01,6.6
1992-04-01,7.2
1992-07-01,5.9
1992-10-01,6.9
1993-01-01,3.1
1993-04-01,4.9
1993-07-01,4.4
1993-10-01,7.7
1994-01-01,6
1994-04-01,7.7
1994-07-01,4.6
1994-10-01,6.9
1995-01-01,3.7
1995-04-01,3.2
1995-07-01,5.5
1995-10-01,4.9
1996-01-01,4.9
1996-04-01,8.8
1996-07-01,4.9
1996-10-01,6.4
1997-01-01,5.7
1997-04-01,7.3
1997-07-01,6.7
1997-10-01,4.5
1998-01-01,4.7
1998-04-01,4.8
1998-07-01,6.9
1998-10-01,8.1
1999-01-01,5.3
1999-04-01,4.7
1999-07-01,6.7
1999-10-01,9.1
2000-01-01,4.3
2000-04-01,10.2
2000-07-01,3.1
2000-10-01,4.5
2001-01-01,1.4
2001-04-01,5.1
2001-07-01,0
2001-10-01,2.3
2002-01-01,5.1
2002-04-01,3.8
2002-07-01,3.8
2002-10-01,2.4
2003-01-01,4.6
2003-04-01,5.1
2003-07-01,9.3
2003-10-01,6.8
2004-01-01,5.9
2004-04-01,6.6
2004-07-01,6.3
2004-10-01,6.4
2005-01-01,8.3
2005-04-01,5.1
2005-07-01,7.3
2005-10-01,5.4
2006-01-01,8.2
2006-04-01,4.5
2006-07-01,3.2
2006-10-01,4.6
2007-01-01,4.8
2007-04-01,5.4
2007-07-01,4.2
2007-10-01,3.2
2008-01-01,-0.5
2008-04-01,4
2008-07-01,0.8
2008-10-01,-7.7
2009-01-01,-4.5
2009-04-01,-1.2
2009-07-01,1.2
2009-10-01,5.2
2010-01-01,3.2
2010-04-01,5.8
2010-07-01,4.6
2010-10-01,4.7
2011-01-01,0.2
2011-04-01,6
2011-07-01,3.3
2011-10-01,5.2
2012-01-01,4.9
2012-04-01,3.8
2012-07-01,2.7
2012-10-01,1.7
2013-01-01,4.4
2013-04-01,1.6
2013-07-01,5.1
2013-10-01,6.1
2014-01-01,0.7
2014-04-01,7
2014-07-01,7.1
2014-10-01,2.6
2015-01-01,3.2
2015-04-01,5
2015-07-01,3
2015-10-01,1.3
2016-01-01,0.8
2016-04-01,4.7
2016-07-01,4.2
2016-10-01,3.8
2017-01-01,3.3
2017-04-01,4.1
2017-07-01,5.3
2017-10-01,5.3
