DATE,CASTHPI
1975-01-01,41.63
1975-04-01,42.77
1975-07-01,44.25
1975-10-01,45.85
1976-01-01,47.74
1976-04-01,50.24
1976-07-01,53.53
1976-10-01,55.49
1977-01-01,57.98
1977-04-01,62.97
1977-07-01,67.93
1977-10-01,70.61
1978-01-01,73.19
1978-04-01,75.96
1978-07-01,78.60
1978-10-01,81.60
1979-01-01,84.83
1979-04-01,88.57
1979-07-01,93.08
1979-10-01,96.33
1980-01-01,100.00
1980-04-01,102.92
1980-07-01,106.60
1980-10-01,108.39
1981-01-01,110.69
1981-04-01,113.13
1981-07-01,116.54
1981-10-01,117.82
1982-01-01,115.41
1982-04-01,116.40
1982-07-01,116.95
1982-10-01,116.92
1983-01-01,117.78
1983-04-01,117.80
1983-07-01,117.58
1983-10-01,117.99
1984-01-01,119.79
1984-04-01,120.41
1984-07-01,121.88
1984-10-01,122.98
1985-01-01,124.71
1985-04-01,126.54
1985-07-01,129.37
1985-10-01,130.77
1986-01-01,132.44
1986-04-01,135.00
1986-07-01,137.93
1986-10-01,141.27
1987-01-01,144.92
1987-04-01,148.45
1987-07-01,153.13
1987-10-01,157.47
1988-01-01,163.24
1988-04-01,170.00
1988-07-01,178.09
1988-10-01,187.88
1989-01-01,196.65
1989-04-01,206.38
1989-07-01,218.26
1989-10-01,225.17
1990-01-01,227.88
1990-04-01,228.64
1990-07-01,230.55
1990-10-01,229.00
1991-01-01,228.79
1991-04-01,227.35
1991-07-01,227.37
1991-10-01,229.04
1992-01-01,227.81
1992-04-01,225.46
1992-07-01,225.01
1992-10-01,222.91
1993-01-01,219.41
1993-04-01,217.53
1993-07-01,215.68
1993-10-01,214.38
1994-01-01,212.25
1994-04-01,207.15
1994-07-01,204.10
1994-10-01,201.06
1995-01-01,199.77
1995-04-01,201.62
1995-07-01,203.92
1995-10-01,203.64
1996-01-01,203.64
1996-04-01,201.05
1996-07-01,200.67
1996-10-01,201.71
1997-01-01,202.75
1997-04-01,204.76
1997-07-01,208.85
1997-10-01,212.50
1998-01-01,217.07
1998-04-01,221.75
1998-07-01,227.55
1998-10-01,231.92
1999-01-01,235.50
1999-04-01,239.56
1999-07-01,245.04
1999-10-01,250.24
2000-01-01,261.12
2000-04-01,268.18
2000-07-01,277.16
2000-10-01,285.75
2001-01-01,296.73
2001-04-01,305.77
2001-07-01,312.24
2001-10-01,316.62
2002-01-01,325.08
2002-04-01,336.13
2002-07-01,348.76
2002-10-01,358.92
2003-01-01,367.21
2003-04-01,374.06
2003-07-01,386.68
2003-10-01,411.41
2004-01-01,424.59
2004-04-01,451.07
2004-07-01,496.99
2004-10-01,515.94
2005-01-01,538.44
2005-04-01,569.86
2005-07-01,597.89
2005-10-01,624.64
2006-01-01,637.54
2006-04-01,643.23
2006-07-01,645.21
2006-10-01,641.26
2007-01-01,632.23
2007-04-01,621.43
2007-07-01,598.49
2007-10-01,574.31
2008-01-01,542.27
2008-04-01,497.90
2008-07-01,460.45
2008-10-01,444.62
2009-01-01,440.41
2009-04-01,420.31
2009-07-01,411.02
2009-10-01,412.40
2010-01-01,409.55
2010-04-01,408.37
2010-07-01,410.41
2010-10-01,405.80
2011-01-01,391.59
2011-04-01,385.26
2011-07-01,386.64
2011-10-01,385.32
2012-01-01,380.91
2012-04-01,381.68
2012-07-01,389.87
2012-10-01,397.90
2013-01-01,406.88
2013-04-01,426.05
2013-07-01,450.07
2013-10-01,465.14
2014-01-01,475.23
2014-04-01,487.70
2014-07-01,498.06
2014-10-01,503.58
2015-01-01,507.85
2015-04-01,520.30
2015-07-01,534.78
2015-10-01,542.34
2016-01-01,549.18
2016-04-01,558.87
2016-07-01,570.17
2016-10-01,578.89
2017-01-01,590.62
2017-04-01,604.36
2017-07-01,616.05
2017-10-01,627.10
2018-01-01,638.37
