DATE,NCSTHPI
1975-01-01,66.06
1975-04-01,67.05
1975-07-01,68.53
1975-10-01,70.76
1976-01-01,69.54
1976-04-01,69.83
1976-07-01,70.38
1976-10-01,70.76
1977-01-01,74.93
1977-04-01,73.87
1977-07-01,76.77
1977-10-01,81.17
1978-01-01,82.87
1978-04-01,83.22
1978-07-01,86.76
1978-10-01,87.33
1979-01-01,90.34
1979-04-01,91.90
1979-07-01,96.23
1979-10-01,96.47
1980-01-01,100.00
1980-04-01,98.23
1980-07-01,101.30
1980-10-01,102.70
1981-01-01,105.71
1981-04-01,106.36
1981-07-01,105.88
1981-10-01,104.37
1982-01-01,107.06
1982-04-01,109.43
1982-07-01,109.47
1982-10-01,111.84
1983-01-01,112.83
1983-04-01,111.33
1983-07-01,113.87
1983-10-01,115.31
1984-01-01,117.95
1984-04-01,122.24
1984-07-01,121.73
1984-10-01,124.87
1985-01-01,127.66
1985-04-01,130.11
1985-07-01,132.98
1985-10-01,134.76
1986-01-01,135.92
1986-04-01,138.51
1986-07-01,140.96
1986-10-01,142.79
1987-01-01,145.48
1987-04-01,147.04
1987-07-01,149.40
1987-10-01,150.41
1988-01-01,151.48
1988-04-01,153.99
1988-07-01,155.37
1988-10-01,156.14
1989-01-01,156.64
1989-04-01,157.47
1989-07-01,160.21
1989-10-01,160.60
1990-01-01,160.97
1990-04-01,161.43
1990-07-01,162.91
1990-10-01,162.80
1991-01-01,163.76
1991-04-01,165.01
1991-07-01,165.31
1991-10-01,167.69
1992-01-01,168.80
1992-04-01,169.15
1992-07-01,171.18
1992-10-01,171.91
1993-01-01,172.33
1993-04-01,173.88
1993-07-01,175.67
1993-10-01,177.13
1994-01-01,178.66
1994-04-01,181.36
1994-07-01,183.79
1994-10-01,185.96
1995-01-01,187.50
1995-04-01,190.07
1995-07-01,193.24
1995-10-01,195.17
1996-01-01,197.55
1996-04-01,199.34
1996-07-01,201.74
1996-10-01,203.37
1997-01-01,205.91
1997-04-01,208.42
1997-07-01,211.49
1997-10-01,214.61
1998-01-01,217.22
1998-04-01,218.85
1998-07-01,222.02
1998-10-01,224.26
1999-01-01,226.15
1999-04-01,228.59
1999-07-01,229.99
1999-10-01,231.04
2000-01-01,233.14
2000-04-01,236.02
2000-07-01,239.09
2000-10-01,241.62
2001-01-01,246.92
2001-04-01,249.11
2001-07-01,251.01
2001-10-01,253.39
2002-01-01,254.90
2002-04-01,255.99
2002-07-01,259.51
2002-10-01,261.24
2003-01-01,263.38
2003-04-01,265.15
2003-07-01,266.41
2003-10-01,268.89
2004-01-01,271.88
2004-04-01,274.29
2004-07-01,277.20
2004-10-01,281.90
2005-01-01,286.39
2005-04-01,290.29
2005-07-01,296.68
2005-10-01,303.00
2006-01-01,308.14
2006-04-01,312.46
2006-07-01,317.82
2006-10-01,323.61
2007-01-01,328.62
2007-04-01,331.80
2007-07-01,333.10
2007-10-01,335.77
2008-01-01,338.49
2008-04-01,337.91
2008-07-01,333.77
2008-10-01,333.58
2009-01-01,337.46
2009-04-01,331.65
2009-07-01,323.80
2009-10-01,320.01
2010-01-01,314.67
2010-04-01,312.19
2010-07-01,314.13
2010-10-01,312.47
2011-01-01,305.52
2011-04-01,299.28
2011-07-01,301.01
2011-10-01,301.99
2012-01-01,298.03
2012-04-01,294.54
2012-07-01,297.60
2012-10-01,298.97
2013-01-01,298.29
2013-04-01,300.07
2013-07-01,301.05
2013-10-01,300.26
2014-01-01,302.46
2014-04-01,306.54
2014-07-01,309.54
2014-10-01,310.85
2015-01-01,315.66
2015-04-01,319.79
2015-07-01,323.19
2015-10-01,326.34
2016-01-01,330.91
2016-04-01,335.96
2016-07-01,343.20
2016-10-01,345.01
2017-01-01,347.59
2017-04-01,360.10
2017-07-01,364.07
2017-10-01,366.19
2018-01-01,372.17
